HAT-P-23 CAHA Cousins-R 2015-08-28 2457263.356356 1.002296 0.001530 
HAT-P-23 CAHA Cousins-R 2015-08-28 2457263.356852 1.001732 0.001525 
HAT-P-23 CAHA Cousins-R 2015-08-28 2457263.357349 1.001672 0.001528 
HAT-P-23 CAHA Cousins-R 2015-08-28 2457263.357849 1.001646 0.001533 
HAT-P-23 CAHA Cousins-R 2015-08-28 2457263.358348 1.000063 0.001524 
HAT-P-23 CAHA Cousins-R 2015-08-28 2457263.358855 0.999861 0.001514 
HAT-P-23 CAHA Cousins-R 2015-08-28 2457263.359718 0.998963 0.001507 
HAT-P-23 CAHA Cousins-R 2015-08-28 2457263.360171 0.999599 0.001512 
HAT-P-23 CAHA Cousins-R 2015-08-28 2457263.360635 0.998673 0.001509 
HAT-P-23 CAHA Cousins-R 2015-08-28 2457263.361565 0.999991 0.001512 
HAT-P-23 CAHA Cousins-R 2015-08-28 2457263.362535 1.001447 0.001536 
HAT-P-23 CAHA Cousins-R 2015-08-28 2457263.362990 0.999219 0.001530 
HAT-P-23 CAHA Cousins-R 2015-08-28 2457263.363918 0.999541 0.001519 
HAT-P-23 CAHA Cousins-R 2015-08-28 2457263.364723 0.996885 0.001507 
HAT-P-23 CAHA Cousins-R 2015-08-28 2457263.365177 1.002089 0.001520 
HAT-P-23 CAHA Cousins-R 2015-08-28 2457263.365641 0.998449 0.001526 
HAT-P-23 CAHA Cousins-R 2015-08-28 2457263.366108 1.000353 0.001521 
HAT-P-23 CAHA Cousins-R 2015-08-28 2457263.366573 0.999847 0.001515 
HAT-P-23 CAHA Cousins-R 2015-08-28 2457263.367033 1.000628 0.001516 
HAT-P-23 CAHA Cousins-R 2015-08-28 2457263.367503 1.000598 0.001517 
HAT-P-23 CAHA Cousins-R 2015-08-28 2457263.367967 1.001295 0.001525 
HAT-P-23 CAHA Cousins-R 2015-08-28 2457263.368430 0.997945 0.001519 
HAT-P-23 CAHA Cousins-R 2015-08-28 2457263.368893 0.999859 0.001558 
HAT-P-23 CAHA Cousins-R 2015-08-28 2457263.369359 0.998368 0.001522 
HAT-P-23 CAHA Cousins-R 2015-08-28 2457263.369823 1.000954 0.001520 
HAT-P-23 CAHA Cousins-R 2015-08-28 2457263.370288 1.003866 0.001507 
HAT-P-23 CAHA Cousins-R 2015-08-28 2457263.370754 1.001198 0.001530 
HAT-P-23 CAHA Cousins-R 2015-08-28 2457263.371219 0.997848 0.001525 
HAT-P-23 CAHA Cousins-R 2015-08-28 2457263.371686 1.001368 0.001527 
HAT-P-23 CAHA Cousins-R 2015-08-28 2457263.372155 1.000808 0.001536 
HAT-P-23 CAHA Cousins-R 2015-08-28 2457263.372624 1.000143 0.001519 
HAT-P-23 CAHA Cousins-R 2015-08-28 2457263.373092 1.000416 0.001532 
HAT-P-23 CAHA Cousins-R 2015-08-28 2457263.373563 0.999298 0.001532 
HAT-P-23 CAHA Cousins-R 2015-08-28 2457263.374033 1.001367 0.001533 
HAT-P-23 CAHA Cousins-R 2015-08-28 2457263.374503 0.998746 0.001511 
HAT-P-23 CAHA Cousins-R 2015-08-28 2457263.374973 0.997777 0.001533 
HAT-P-23 CAHA Cousins-R 2015-08-28 2457263.375445 0.998774 0.001537 
HAT-P-23 CAHA Cousins-R 2015-08-28 2457263.375920 0.998809 0.001525 
HAT-P-23 CAHA Cousins-R 2015-08-28 2457263.376393 1.001065 0.001522 
HAT-P-23 CAHA Cousins-R 2015-08-28 2457263.376868 1.002840 0.001512 
HAT-P-23 CAHA Cousins-R 2015-08-28 2457263.377342 0.997546 0.001521 
HAT-P-23 CAHA Cousins-R 2015-08-28 2457263.377819 0.998077 0.001521 
HAT-P-23 CAHA Cousins-R 2015-08-28 2457263.378296 1.000790 0.001523 
HAT-P-23 CAHA Cousins-R 2015-08-28 2457263.378774 1.000911 0.001519 
HAT-P-23 CAHA Cousins-R 2015-08-28 2457263.379254 1.000192 0.001535 
HAT-P-23 CAHA Cousins-R 2015-08-28 2457263.379736 1.001231 0.001544 
HAT-P-23 CAHA Cousins-R 2015-08-28 2457263.380216 0.999384 0.001531 
HAT-P-23 CAHA Cousins-R 2015-08-28 2457263.380699 1.000370 0.001506 
HAT-P-23 CAHA Cousins-R 2015-08-28 2457263.381184 1.000830 0.001532 
HAT-P-23 CAHA Cousins-R 2015-08-28 2457263.381672 1.000472 0.001507 
HAT-P-23 CAHA Cousins-R 2015-08-28 2457263.382163 0.998612 0.001518 
HAT-P-23 CAHA Cousins-R 2015-08-28 2457263.382650 0.998870 0.001535 
HAT-P-23 CAHA Cousins-R 2015-08-28 2457263.383139 1.000098 0.001518 
HAT-P-23 CAHA Cousins-R 2015-08-28 2457263.383627 1.001697 0.001546 
HAT-P-23 CAHA Cousins-R 2015-08-28 2457263.384117 0.999818 0.001540 
HAT-P-23 CAHA Cousins-R 2015-08-28 2457263.384618 0.997675 0.001531 
HAT-P-23 CAHA Cousins-R 2015-08-28 2457263.385113 0.999615 0.001528 
HAT-P-23 CAHA Cousins-R 2015-08-28 2457263.385605 1.000163 0.001533 
HAT-P-23 CAHA Cousins-R 2015-08-28 2457263.386102 1.002355 0.001529 
HAT-P-23 CAHA Cousins-R 2015-08-28 2457263.386598 1.000123 0.001512 
HAT-P-23 CAHA Cousins-R 2015-08-28 2457263.387096 0.999564 0.001527 
