0               1         2               3         4     5          6          7      8           9         10        11        12        13        14        15        16    17     18        19           20       21    22                                                               23
2457361.657691  0.000530  2457361.656686  0.000950  1368  0.000377   -0.000877  Clear  Database    0.018626  0.000342  0.124985  0.109820  0.001060  0.015164  0.001836  0.67  3.89   0.003970  3.067023     BC00010  1     data/exo/HAT-P-32/Database/2016-01-07_ETD95/                     http://var2.astro.cz/ETD/etd.php?STARNAME=HAT-P-32&PLANET=b
2457385.309687  0.000184  2457385.309307  0.000190  1379  0.002285   0.001027   R      Database    0.023036  0.000134  0.131335  0.113534  0.000369  0.017801  0.000638  1.29  0.59   0.000911  2.084625     BC00000  0     data/exo/HAT-P-32/Database/2015-12-28_ETD98/                     http://var2.astro.cz/ETD/etd.php?STARNAME=HAT-P-32&PLANET=b
2457385.310390  0.000206  2457385.309577  0.000220  1379  0.002988   0.001730   R      Database    0.022923  0.000146  0.132197  0.113793  0.000412  0.018404  0.000714  1.39  1.40   0.001641  5.133748     BC00000  0     data/exo/HAT-P-32/Database/2015-12-28_ETD99/                     http://var2.astro.cz/ETD/etd.php?STARNAME=HAT-P-32&PLANET=b
2457608.913329  0.000648  2457608.913251  0.000680  1483  0.005095   0.003796   V      Database    0.023249  0.000476  0.131488  0.113915  0.001297  0.017573  0.002246  0.99  2.12   0.003408  1.770662     BC00001  1     data/exo/HAT-P-32/Database/2016-08-27_ETD101/                    http://var2.astro.cz/ETD/etd.php?STARNAME=HAT-P-32&PLANET=b
2457608.913958  0.000540  2457608.913791  0.000570  1483  0.005724   0.004425   V      Database    0.023011  0.000395  0.130955  0.113532  0.001080  0.017423  0.001871  0.63  1.76   0.002835  2.560759     BC00001  1     data/exo/HAT-P-32/Database/2016-08-08_ETD102/                    http://var2.astro.cz/ETD/etd.php?STARNAME=HAT-P-32&PLANET=b
2457660.508994  0.000443  2457660.509112  0.000500  1507  0.000568   -0.000741  clear  Database    0.023899  0.000331  0.132128  0.114258  0.000886  0.017870  0.001534  0.58  2.99   0.003491  0.449714     BC00000  0     xxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxx               yyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyy
2457660.509457  0.000457  2457660.509652  0.000480  1507  0.001031   -0.000278  Clear  Database    0.022328  0.000317  0.134936  0.117216  0.000914  0.017720  0.001584  1.59  1.09   0.002195  1.872675     BC00000  0     data/exo/HAT-P-32/Database/2016-09-29_ETD104/                    http://var2.astro.cz/ETD/etd.php?STARNAME=HAT-P-32&PLANET=b
2457688.458672  0.000242  2457688.458583  0.000240  1520  0.000142   -0.001172  R      Database    0.021979  0.000167  0.129809  0.111703  0.000484  0.018106  0.000838  0.94  0.83   0.001367  1.779154     BC00000  0     data/exo/HAT-P-32/Database/2016-10-26_ETD108/                    http://var2.astro.cz/ETD/etd.php?STARNAME=HAT-P-32&PLANET=b
2457725.009676  0.000163  2457725.009334  0.000180  1537  0.001010   -0.000311  R      Database    0.021822  0.000116  0.128686  0.111955  0.000327  0.016731  0.000566  0.81  0.80   0.001077  5.773071     BC00000  0     data/exo/HAT-P-32/Database/2016-12-02_ETD111/                    http://var2.astro.cz/ETD/etd.php?STARNAME=HAT-P-32&PLANET=b
2457759.409040  0.000438  2457759.408816  0.000500  1553  0.000246   -0.001081  Clear  Database    0.022428  0.000323  0.127180  0.110446  0.000877  0.016734  0.001518  0.53  3.71   0.003727  17.592307    BC00000  0     data/exo/HAT-P-32/Database/2018-12-11_ETD112/                    http://var2.astro.cz/ETD/etd.php?STARNAME=HAT-P-32&PLANET=b
